"no","name","category","imageSrc","itemNumber","upc","bin","price","unitPrice","casePrice","unitsPerCase","averageUnitWeight","averageCaseWeight","onSale","volumePriceText"
1,"Gatorade - Variety Pack - 24/20 oz plastic bottles","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/5/2/5200020781_m.jpg","15159","5200020781","1032","21.73",,,,,,false,
2,"Red & White - Corn Flakes - 12/18 oz","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/5/0/5070074329.jpg","11127","5070074329","4094","28.30",,,,,,true,
3,"DOG CHOW CHICKEN 44LBS","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/placeholder/default/logo-grayscale_1_2.png","570795","1780010031","4044","31.69",,,,,,false,
4,"CREAM JF 36% UHT","Dairy & Perishables","https://member.restaurantdepot.com/media/catalog/product/placeholder/default/logo-grayscale_1_2.png","1530299","6069501980","70049",,"6.70","76.39",12,,,false,
5,"Coca-Cola Cans, 12 fl oz, 35 Pack","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/4/9/4900005846_1.jpg","441541","4900005846","1045","20.85",,,,,,true,
6,"Fresh Atlantic Salmon Fillets, Chile, 3-4 lbs, farm raised","Fresh & Frozen Seafood","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/s/a/salmon_fillet_-_ss_10.png","77835","20778350000","351",,"43.62","200.70",,6,30,false,"$7.27 per pound. Buy more than 29 LBS, price per pound drops to $6.69"
7,"bounty Paper Towels Select A Size 12/102CT","Retail Groceries (Non-Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/b/o/bounty_select_a_size.png","1390145","3077208723","","",,,,,,false,
8,"Pepsi - Cola Cube Pack - 36/12 oz cans","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/1/2/1200010010.JPG","12281","1200010010","1035","17.81",,,,,,false,
9,"Nissin Top - Ramen Noodles Chicken Flavor - 24/3 oz","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/0/7066201303.jpg","13275","7066201303","3030","9.59",,,,,,false,
10,"Arizona - Rx Energy, Herbal Tonic- 24/23 oz cans","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/a/z/az_-_energy_can.png","21153","61300871845","1022","18.08",,,,,,false,
